"Liste des pointages du 04/07/2021 11:12";
"Numéro";"Début";"Fin";"Commentaire"
"1";"08/06/2021 11:15";"08/06/2021 15:15";""
"2";"08/06/2021 18:30";"08/06/2021 21:30";""
"3";"09/06/2021 11:30";"09/06/2021 15:00";""
"4";"09/06/2021 20:00";"09/06/2021 23:00";""
"5";"10/06/2021 11:30";"10/06/2021 14:30";""
"6";"10/06/2021 20:00";"10/06/2021 23:00";""
"7";"11/06/2021 11:30";"11/06/2021 14:45";""
"8";"11/06/2021 20:00";"11/06/2021 23:00";""
"9";"12/06/2021 11:25";"12/06/2021 15:00";""
"10";"12/06/2021 20:00";"13/06/2021 00:00";""
"11";"15/06/2021 11:30";"15/06/2021 14:30";""
"12";"15/06/2021 20:00";"15/06/2021 22:30";""
"13";"16/06/2021 20:00";"16/06/2021 22:30";""
"14";"17/06/2021 11:30";"17/06/2021 20:00";""
"15";"17/06/2021 20:00";"17/06/2021 22:45";""
"16";"18/06/2021 11:30";"18/06/2021 14:56";""
"17";"18/06/2021 20:00";"18/06/2021 23:00";""
"38";"19/06/2021 11:30";"19/06/2021 14:35";""
"18";"19/06/2021 20:00";"20/06/2021 00:00";""
"19";"22/06/2021 11:35";"22/06/2021 14:45";""
"20";"22/06/2021 20:00";"22/06/2021 22:45";""
"21";"23/06/2021 11:30";"23/06/2021 14:30";""
"22";"23/06/2021 20:00";"23/06/2021 22:45";""
"23";"24/06/2021 11:30";"24/06/2021 14:45";""
"24";"24/06/2021 20:00";"24/06/2021 22:45";""
"25";"25/06/2021 10:30";"25/06/2021 14:45";""
"26";"25/06/2021 20:00";"25/06/2021 23:45";""
"27";"26/06/2021 10:30";"26/06/2021 14:45";""
"28";"26/06/2021 19:30";"27/06/2021 00:45";""
"29";"29/06/2021 10:00";"29/06/2021 14:35";""
"30";"29/06/2021 20:00";"29/06/2021 23:05";""
"31";"30/06/2021 11:30";"30/06/2021 14:30";""
"32";"30/06/2021 20:00";"30/06/2021 22:35";""
"33";"01/07/2021 11:00";"01/07/2021 14:40";""
"34";"01/07/2021 20:00";"01/07/2021 23:05";""
"35";"02/07/2021 11:30";"02/07/2021 14:40";""
"36";"02/07/2021 19:45";"02/07/2021 23:35";""
"37";"03/07/2021 11:30";"03/07/2021 14:40";""
"39";"03/07/2021 20:00";"04/07/2021 00:30";""
